"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name"
"501","Author","Kumar, Randhir","WROTE_A_PAPER_WITH","502","Author","Tripathi, Rakesh"
"503","Author","Li, Jin","WROTE_A_PAPER_WITH","504","Author","Patil, Akash Suresh"
"505","Author","Shen, Danyao","WROTE_A_PAPER_WITH","506","Author","Zhang, Zhanpeng"
"507","Author","Bhat, K. Vivekananda","WROTE_A_PAPER_WITH","508","Author","Das, Ashok Kumar"
"509","Author","Khan, Muhammad Khurram","WROTE_A_PAPER_WITH","510","Author","Mahmood, Khalid"
"511","Author","Jangir, Sunil Kumar","WROTE_A_PAPER_WITH","417","Author","Kumar, Sunil"
"512","Author","Ding, Yan","WROTE_A_PAPER_WITH","513","Author","Gong, Li"
"514","Author","Li, Yanying","WROTE_A_PAPER_WITH","515","Author","Wu, Junnan"
"516","Author","Chen, Shaochun","WROTE_A_PAPER_WITH","517","Author","Zhang, Zhijun"
"518","Author","Donta, Praveen Kumar","WROTE_A_PAPER_WITH","519","Author","Varghese, Blesson"
"520","Author","Bai, Bo","WROTE_A_PAPER_WITH","521","Author","Yang, Yanping"
"522","Author","Wang, Shengling","WROTE_A_PAPER_WITH","523","Author","Xu, Enliang"
"524","Author","Jiang, Liquan","WROTE_A_PAPER_WITH","525","Author","Qin, Zhiguang"
"526","Author","Wang, Yuexian","WROTE_A_PAPER_WITH","527","Author","Yan, Hangqi"
"528","Author","Konstantin, Kostromitin","WROTE_A_PAPER_WITH","529","Author","Zhang, Yongxin"
"530","Author","Amsaad, Fathi","WROTE_A_PAPER_WITH","531","Author","Razaque, Abdul"
"532","Author","Cheelu, Dhanaraj","WROTE_A_PAPER_WITH","533","Author","Chen, Chi-Yuan"
"534","Author","Iwendi, Celestine","WROTE_A_PAPER_WITH","535","Author","Maddikunta, Praveen Kumar Reddy"
"536","Author","Li, Jichun","WROTE_A_PAPER_WITH","537","Author","Phillips, Chris"
"538","Author","Trung, Kiet Tran","WROTE_A_PAPER_WITH","539","Author","Turabieh, Hamza"
"540","Author","Bhagyashri, S.","WROTE_A_PAPER_WITH","541","Author","Mani, Devi"
"542","Author","Abouhawwash, Mohamed","WROTE_A_PAPER_WITH","382","Author","Srinidhi, N.N."
"543","Author","Chen, Xianfu","WROTE_A_PAPER_WITH","544","Author","Wu, Shaohua"
"545","Author","Ding, Huaibao","WROTE_A_PAPER_WITH","546","Author","Ding, Xiaomei"
"547","Author","He, Jingsha","WROTE_A_PAPER_WITH","548","Author","Zhai, Peng"
